"","Fecha.de.inicio.de.síntomas","casos_total_bog","muertes_total_bog"
"1",NA,289677,7
"2",2021-01-01,3768,119
"3",2020-10-01,1441,33
"4",2020-11-01,1354,37
"5",2020-12-01,2077,60
"6",2021-02-01,1354,37
"7",2020-03-01,3,1
"8",2021-03-01,578,11
"9",2020-04-01,89,7
"10",2021-04-01,1541,57
"11",2020-05-01,214,6
"12",2021-05-01,372,21
"13",2020-06-01,642,23
"14",2020-07-01,2227,111
"15",2020-08-01,3523,131
"16",2020-09-01,1834,55
"17",2021-01-10,4207,107
"18",2020-10-10,1295,33
"19",2020-11-10,1301,35
"20",2020-12-10,2742,67
"21",2021-02-10,690,24
"22",2020-03-10,11,2
"23",2021-03-10,495,26
"24",2020-04-10,103,7
"25",2021-04-10,1920,62
"26",2020-05-10,346,10
"27",2020-06-10,765,23
"28",2020-07-10,2971,139
"29",2020-08-10,3413,70
"30",2020-09-10,1317,40
"31",2021-01-11,3840,83
"32",2020-10-11,999,25
"33",2020-11-11,1095,18
"34",2020-12-11,2469,66
"35",2021-02-11,600,23
"36",2020-03-11,17,0
"37",2021-03-11,483,20
"38",2020-04-11,70,6
"39",2021-04-11,1440,50
"40",2020-05-11,298,7
"41",2020-06-11,622,13
"42",2020-07-11,2013,77
"43",2020-08-11,2388,70
"44",2020-09-11,1041,35
"45",2021-01-12,4283,108
"46",2020-10-12,1244,17
"47",2020-11-12,1067,26
"48",2020-12-12,2720,53
"49",2021-02-12,640,20
"50",2020-03-12,20,0
"51",2021-03-12,448,20
"52",2020-04-12,74,5
"53",2021-04-12,1638,66
"54",2020-05-12,278,2
"55",2020-06-12,611,32
"56",2020-07-12,2193,93
"57",2020-08-12,2295,66
"58",2020-09-12,1054,32
"59",2021-01-13,3903,70
"60",2020-10-13,1399,16
"61",2020-11-13,1173,34
"62",2020-12-13,2353,48
"63",2021-02-13,598,20
"64",2020-03-13,26,3
"65",2021-03-13,539,21
"66",2020-04-13,61,2
"67",2021-04-13,1419,63
"68",2020-05-13,295,6
"69",2020-06-13,599,24
"70",2020-07-13,2541,116
"71",2020-08-13,1845,60
"72",2020-09-13,923,25
"73",2021-01-14,4186,94
"74",2020-10-14,1268,24
"75",2020-11-14,1181,33
"76",2020-12-14,2925,46
"77",2021-02-14,548,15
"78",2020-03-14,35,2
"79",2021-03-14,501,13
"80",2020-04-14,68,5
"81",2021-04-14,1254,66
"82",2020-05-14,273,9
"83",2020-06-14,604,22
"84",2020-07-14,2473,110
"85",2020-08-14,1881,56
"86",2020-09-14,1173,31
"87",2021-01-15,3402,66
"88",2020-10-15,1335,38
"89",2020-11-15,1243,26
"90",2020-12-15,2939,80
"91",2021-02-15,690,22
"92",2020-03-15,54,1
"93",2021-03-15,660,24
"94",2020-04-15,85,5
"95",2021-04-15,1297,66
"96",2020-05-15,297,10
"97",2020-06-15,800,40
"98",2020-07-15,2370,114
"99",2020-08-15,1903,57
"100",2020-09-15,1184,25
"101",2021-01-16,2333,53
"102",2020-10-16,1194,21
"103",2020-11-16,1298,38
"104",2020-12-16,2795,81
"105",2021-02-16,511,21
"106",2020-03-16,61,2
"107",2021-03-16,572,24
"108",2020-04-16,121,3
"109",2021-04-16,1314,61
"110",2020-05-16,293,12
"111",2020-06-16,860,24
"112",2020-07-16,2571,94
"113",2020-08-16,1669,71
"114",2020-09-16,1004,26
"115",2021-01-17,1687,35
"116",2020-10-17,1134,34
"117",2020-11-17,1554,33
"118",2020-12-17,2544,69
"119",2021-02-17,489,12
"120",2020-03-17,59,6
"121",2021-03-17,650,21
"122",2020-04-17,77,4
"123",2021-04-17,1282,58
"124",2020-05-17,296,10
"125",2020-06-17,1012,24
"126",2020-07-17,2702,127
"127",2020-08-17,1803,74
"128",2020-09-17,952,23
"129",2021-01-18,2241,50
"130",2020-10-18,1094,33
"131",2020-11-18,1474,27
"132",2020-12-18,3077,83
"133",2021-02-18,496,18
"134",2020-03-18,53,3
"135",2021-03-18,798,37
"136",2020-04-18,105,1
"137",2021-04-18,1201,62
"138",2020-05-18,403,6
"139",2020-06-18,1139,35
"140",2020-07-18,2741,104
"141",2020-08-18,2146,71
"142",2020-09-18,1059,24
"143",2021-01-19,1725,49
"144",2020-10-19,1329,30
"145",2020-11-19,1639,43
"146",2020-12-19,2809,73
"147",2021-02-19,456,16
"148",2020-03-19,87,2
"149",2021-03-19,596,21
"150",2020-04-19,81,3
"151",2021-04-19,1565,84
"152",2020-05-19,410,9
"153",2020-06-19,1144,41
"154",2020-07-19,2650,100
"155",2020-08-19,2397,65
"156",2020-09-19,1097,23
"157",2021-01-02,3668,98
"158",2020-10-02,1182,33
"159",2020-11-02,1201,27
"160",2020-12-02,1670,36
"161",2021-02-02,1155,29
"162",2021-03-02,433,12
"163",2020-04-02,60,3
"164",2021-04-02,1196,44
"165",2020-05-02,154,3
"166",2021-05-02,264,18
"167",2020-06-02,498,14
"168",2020-07-02,1730,80
"169",2020-08-02,2404,101
"170",2020-09-02,1310,34
"171",2021-01-20,1808,75
"172",2020-10-20,1551,30
"173",2020-11-20,1955,40
"174",2020-12-20,3130,97
"175",2021-02-20,544,19
"176",2020-03-20,87,7
"177",2021-03-20,765,40
"178",2020-04-20,117,3
"179",2021-04-20,1554,63
"180",2020-05-20,484,11
"181",2020-06-20,1426,57
"182",2020-07-20,3130,126
"183",2020-08-20,2639,47
"184",2020-09-20,1146,26
"185",2021-01-21,1351,50
"186",2020-10-21,1281,27
"187",2020-11-21,1505,36
"188",2020-12-21,2892,76
"189",2021-02-21,359,17
"190",2020-03-21,80,7
"191",2021-03-21,617,20
"192",2020-04-21,85,6
"193",2021-04-21,1343,55
"194",2020-05-21,333,8
"195",2020-06-21,889,55
"196",2020-07-21,3031,98
"197",2020-08-21,1952,43
"198",2020-09-21,1146,16
"199",2021-01-22,1498,42
"200",2020-10-22,1362,34
"201",2020-11-22,1476,28
"202",2020-12-22,2987,92
"203",2021-02-22,464,14
"204",2020-03-22,60,5
"205",2021-03-22,773,25
"206",2020-04-22,76,3
"207",2021-04-22,1471,52
"208",2020-05-22,407,9
"209",2020-06-22,938,39
"210",2020-07-22,3382,90
"211",2020-08-22,1519,47
"212",2020-09-22,985,24
"213",2021-01-23,1234,31
"214",2020-10-23,1712,34
"215",2020-11-23,1673,39
"216",2020-12-23,3206,78
"217",2021-02-23,460,14
"218",2020-03-23,65,4
"219",2021-03-23,848,23
"220",2020-04-23,102,6
"221",2021-04-23,1329,35
"222",2020-05-23,405,11
"223",2020-06-23,1207,44
"224",2020-07-23,3086,77
"225",2020-08-23,1376,53
"226",2020-09-23,962,28
"227",2021-01-24,1210,43
"228",2020-10-24,1717,27
"229",2020-11-24,1604,27
"230",2020-12-24,3200,108
"231",2021-02-24,377,6
"232",2020-03-24,48,2
"233",2021-03-24,777,36
"234",2020-04-24,87,4
"235",2021-04-24,1333,35
"236",2020-05-24,348,12
"237",2020-06-24,1153,45
"238",2020-07-24,3450,118
"239",2020-08-24,1630,48
"240",2020-09-24,856,22
"241",2021-01-25,1530,54
"242",2020-10-25,1364,36
"243",2020-11-25,1701,32
"244",2020-12-25,2762,60
"245",2021-02-25,375,8
"246",2020-03-25,73,1
"247",2021-03-25,916,23
"248",2020-04-25,99,0
"249",2021-04-25,1139,32
"250",2020-05-25,447,12
"251",2020-06-25,1356,49
"252",2020-07-25,3074,94
"253",2020-08-25,1696,48
"254",2020-09-25,1008,35
"255",2021-01-26,1352,55
"256",2020-10-26,1540,24
"257",2020-11-26,1611,23
"258",2020-12-26,3573,79
"259",2021-02-26,392,6
"260",2020-03-26,69,7
"261",2021-03-26,756,28
"262",2020-04-26,125,6
"263",2021-04-26,1138,29
"264",2020-05-26,347,9
"265",2020-06-26,1649,79
"266",2020-07-26,2407,111
"267",2020-08-26,1573,49
"268",2020-09-26,1001,19
"269",2021-01-27,1199,35
"270",2020-10-27,1258,27
"271",2020-11-27,1550,30
"272",2020-12-27,3240,87
"273",2020-02-27,1,0
"274",2021-02-27,407,8
"275",2020-03-27,80,2
"276",2021-03-27,844,30
"277",2020-04-27,103,7
"278",2021-04-27,770,27
"279",2021-04-27,1,0
"280",2020-05-27,422,9
"281",2020-06-27,1685,61
"282",2020-07-27,3891,111
"283",2020-08-27,1404,40
"284",2020-09-27,933,23
"285",2021-01-28,1081,38
"286",2020-10-28,1347,34
"287",2020-11-28,1500,24
"288",2020-12-28,4507,95
"289",2020-02-28,1,0
"290",2021-02-28,424,13
"291",2020-03-28,72,4
"292",2021-03-28,1068,35
"293",2020-04-28,144,6
"294",2021-04-28,565,34
"295",2020-05-28,372,11
"296",2020-06-28,1381,62
"297",2020-07-28,2873,113
"298",2020-08-28,1581,34
"299",2020-09-28,1451,34
"300",2021-01-29,882,36
"301",2020-10-29,1021,24
"302",2020-11-29,1281,28
"303",2020-12-29,3789,95
"304",2020-03-29,63,8
"305",2021-03-29,1088,30
"306",2020-04-29,115,4
"307",2021-04-29,466,33
"308",2020-05-29,378,13
"309",2020-06-29,1295,43
"310",2020-07-29,2800,103
"311",2020-08-29,1361,36
"312",2020-09-29,1157,25
"313",2021-01-03,3779,117
"314",2020-10-03,1228,39
"315",2020-11-03,1329,24
"316",2020-12-03,1629,37
"317",2021-02-03,850,24
"318",2021-03-03,395,8
"319",2020-04-03,58,4
"320",2021-04-03,1541,40
"321",2020-05-03,151,5
"322",2021-05-03,268,26
"323",2020-06-03,442,11
"324",2020-07-03,1982,89
"325",2020-08-03,2869,84
"326",2020-09-03,1196,34
"327",2021-01-30,883,26
"328",2020-10-30,1129,31
"329",2020-11-30,1728,31
"330",2020-12-30,3885,142
"331",2020-03-30,65,2
"332",2021-03-30,921,36
"333",2020-04-30,115,7
"334",2021-04-30,429,43
"335",2020-05-30,363,9
"336",2020-06-30,1628,65
"337",2020-07-30,2600,103
"338",2020-08-30,1346,36
"339",2020-09-30,1157,24
"340",2021-01-31,773,16
"341",2020-10-31,1053,36
"342",2020-12-31,3468,107
"343",2020-03-31,48,3
"344",2021-03-31,1043,35
"345",2020-05-31,361,16
"346",2020-07-31,2656,98
"347",2020-08-31,1585,42
"348",2021-01-04,5286,149
"349",2020-10-04,1004,19
"350",2020-11-04,1413,33
"351",2020-12-04,1716,48
"352",2021-02-04,826,30
"353",2020-03-04,1,0
"354",2021-03-04,396,12
"355",2020-04-04,93,1
"356",2021-04-04,1520,41
"357",2020-05-04,154,9
"358",2021-05-04,200,26
"359",2020-06-04,439,14
"360",2020-07-04,1891,90
"361",2020-08-04,2856,90
"362",2020-09-04,1192,35
"363",2021-01-05,4599,132
"364",2020-10-05,1426,40
"365",2020-11-05,1621,35
"366",2020-12-05,1848,44
"367",2021-02-05,822,24
"368",2020-03-05,5,1
"369",2021-03-05,428,9
"370",2020-04-05,69,4
"371",2021-04-05,2024,55
"372",2020-05-05,202,4
"373",2021-05-05,143,23
"374",2020-06-05,534,24
"375",2020-07-05,1847,78
"376",2020-08-05,3258,74
"377",2020-09-05,1154,31
"378",2021-01-06,3524,126
"379",2020-10-06,1169,34
"380",2020-11-06,1181,28
"381",2020-12-06,1748,42
"382",2021-02-06,804,28
"383",2020-03-06,6,1
"384",2021-03-06,406,15
"385",2020-04-06,90,1
"386",2021-04-06,1694,52
"387",2020-05-06,235,4
"388",2021-05-06,149,16
"389",2020-06-06,541,29
"390",2020-07-06,2051,80
"391",2020-08-06,3275,51
"392",2020-09-06,1024,33
"393",2021-01-07,3372,114
"394",2020-10-07,1096,21
"395",2020-11-07,1105,33
"396",2020-12-07,2276,38
"397",2021-02-07,688,17
"398",2020-03-07,10,3
"399",2021-03-07,396,14
"400",2020-04-07,57,0
"401",2021-04-07,1618,59
"402",2020-05-07,166,1
"403",2021-05-07,81,5
"404",2020-06-07,416,14
"405",2020-07-07,2093,97
"406",2020-08-07,2620,84
"407",2020-09-07,1281,38
"408",2021-01-08,3410,103
"409",2020-10-08,1095,34
"410",2020-11-08,1036,32
"411",2020-12-08,2069,49
"412",2021-02-08,815,23
"413",2020-03-08,5,0
"414",2021-03-08,497,13
"415",2020-04-08,75,4
"416",2021-04-08,1496,52
"417",2020-05-08,227,7
"418",2021-05-08,14,1
"419",2020-06-08,564,21
"420",2020-07-08,2205,80
"421",2020-08-08,3048,72
"422",2020-09-08,1248,33
"423",2021-01-09,3961,105
"424",2020-10-09,1141,37
"425",2020-11-09,1312,34
"426",2020-12-09,2430,50
"427",2021-02-09,696,22
"428",2020-03-09,6,0
"429",2021-03-09,453,11
"430",2020-04-09,65,0
"431",2021-04-09,1633,66
"432",2020-05-09,224,9
"433",2021-05-09,2,0
"434",2020-06-09,520,20
"435",2020-07-09,2063,80
"436",2020-08-09,2358,65
"437",2020-09-09,1224,39
